station,area_park,len_cycle_path,len_major_road,len_minor_road,num_metro_stations,num_other_commercial,num_restuarants,num_university,num_pop,num_bus_stations,num_bus_routes,walkscore,capacity
6084 - Duke / Brennan,0.004158938366291241,0.6332101951962715,0.34544743999919486,0.458292035578221,0.0,0.07792207792207792,0.08108108108108109,0.0,0.07977971847359408,0.03571428571428571,0.038461538461538464,0.7717391304347826,0.1276595744680851
6085 - Notre-Dame / Peel,0.0,0.0,0.24266450313873658,0.24899288877970577,0.0,0.03896103896103896,0.05405405405405406,1.0,0.20564796910934538,0.07142857142857142,0.15384615384615385,0.9130434782608695,0.3829787234042553
6086 - Basin / du Séminaire,0.09274699313028513,0.645574117355102,0.1274985627070617,0.3922178031691574,0.0,0.06493506493506493,0.0,0.0,0.17974993803632058,0.07142857142857142,0.038461538461538464,0.7391304347826086,0.2127659574468085
6087 - Notre-Dame / de la Montagne,0.0,0.0,0.2655122674795114,0.29871233721880247,0.0,0.12987012987012986,0.10810810810810811,0.0,0.4669151690981299,0.17857142857142858,0.038461538461538464,0.8695652173913043,0.2127659574468085
6088 - Richmond / Notre-Dame,0.02197697726979407,0.19489288001839628,0.13992596384249106,0.17898351604283494,0.0,0.2077922077922078,0.10810810810810811,0.0,0.12705959539654604,0.14285714285714285,0.11538461538461539,0.8043478260869565,0.1276595744680851
6089 - Henri-Julien / du Carmel,0.0,0.0,0.031950551680709476,0.12731135330011278,0.0,0.03896103896103896,0.02702702702702703,0.0,0.1089775764595484,0.03571428571428571,0.07692307692307693,0.9130434782608695,0.1702127659574468
6090 - Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),0.0,0.0,0.6224791997937111,0.5485996393309559,0.25,0.11688311688311688,0.2702702702702703,0.0,0.07459938637571392,0.32142857142857145,0.5769230769230769,0.9456521739130435,0.06382978723404255
6091 - Joseph-Manseau / René-Lévesque,0.0,0.0,0.5380130289266807,0.48141483938364155,0.0,0.06493506493506493,0.02702702702702703,0.0,0.3584794743584858,0.17857142857142858,0.46153846153846156,0.9456521739130435,0.0851063829787234
6092 - Crescent / Ste-Catherine,0.0,0.0,0.0,0.2474429094857692,0.0,0.33766233766233766,0.5675675675675675,0.0,0.13983323632699513,0.03571428571428571,0.07692307692307693,0.9891304347826086,0.1702127659574468
6093 - Atwater / Sherbrooke,0.006900855698116648,0.0,0.3732111762006982,0.2729402213968481,0.0,0.0,0.0,0.0,0.31085453812512376,0.21428571428571427,0.23076923076923078,0.9565217391304348,0.1276595744680851
6094 - de Gaspé / Fairmount,0.0006371046359611365,0.07093321770068715,0.0,0.14464976530939908,0.0,0.025974025974025976,0.0,0.0,0.13453789147623166,0.0,0.0,0.9565217391304348,0.0851063829787234
6095 - Chomedey / de Maisonneuve,0.0,0.13253075223762917,0.00246669704447835,0.252562352751631,0.0,0.14285714285714285,0.10810810810810811,0.0,0.5310668581409106,0.03571428571428571,0.07692307692307693,0.9565217391304348,0.1702127659574468
6096 - Lucien L'Allier / St-Jacques,0.0,0.0,0.42289928800825405,0.43055312182242905,0.0,0.05194805194805195,0.02702702702702703,0.0,0.19101243102007356,0.07142857142857142,0.038461538461538464,0.9239130434782609,0.1276595744680851
6097 - Ste-Catherine / St-Marc,0.0,0.07307772024883295,0.0,0.2657167264597316,0.0,0.23376623376623376,0.40540540540540543,0.0,0.37383462123696487,0.0,0.0,0.9782608695652174,0.1702127659574468
6098 - Bishop / Ste-Catherine,0.0,0.0,0.0,0.09267222219731076,0.0,0.15584415584415584,0.5675675675675675,0.0,0.0441437746082727,0.0,0.0,0.9891304347826086,0.2127659574468085
6099 - Ste-Catherine / Labelle,0.0,0.10215866544387155,0.0,0.20642165598663584,0.25,0.09090909090909091,0.1891891891891892,0.0,0.04881935625420508,0.14285714285714285,0.23076923076923078,0.9456521739130435,0.1276595744680851
6100 - Mackay / de Maisonneuve,0.0,0.13761297615875556,0.0815789129461676,0.17160702029350802,0.25,0.35064935064935066,0.43243243243243246,1.0,0.282607639612762,0.17857142857142858,0.2692307692307692,1.0,0.2127659574468085
6101 - Métro Villa-Maria (Décarie / de Monkland),0.10243507623622103,0.0,0.6449124294517906,0.4592511113241054,0.25,0.1038961038961039,0.10810810810810811,0.0,0.23995730751361158,0.14285714285714285,0.15384615384615385,0.8043478260869565,0.05319148936170213
